Link_Text,Link_URL
"
									detikPop								",https://www.detik.com/pop
"
									berbuatbaik.id								",https://berbuatbaik.id/
"
									Pasang Mata								",https://pasangmata.detik.com
"
									Adsmart								",https://adsmart.detik.com
"
									detikEvent								",https://event.detik.com
"
									Signature Awards								",https://www.detik.com/signature-awards
"
									Trans Snow World								",https://www.transentertainment.com/transsnow
"
									Trans Studio								",https://www.transentertainment.com/transstudio
"
									Bingkai.id								",https://bingkai.id/
"
									Redaksi								",https://www.detik.com/redaksi
"
									Pedoman Media Siber								",https://www.detik.com/pedoman-media
"
									Karir								",https://karir.detik.com/
"
									Kotak Pos								",https://www.detik.com/kotak-pos
"
									Media Partner								",https://www.detik.com/media-partner
"
									Info Iklan								",https://www.detik.com/info-iklan
"
									Privacy Policy								",https://www.detik.com/privacy-policy
"
									Disclaimer								",https://www.detik.com/disclaimer
"
									CNN Indonesia								",https://www.cnnindonesia.com
"
									CNBC Indonesia								",https://www.cnbcindonesia.com
"
									Haibunda								",https://www.haibunda.com
"
									Insertlive								",https://www.insertlive.com/
"
									Beautynesia								",https://beautynesia.id
"
									Female Daily								",https://femaledaily.com
"
									CXO Media								",https://www.cxomedia.id
